articleID,url,title,createTime,positive_total,negative_total,total,positive_percent,negative_percent
0,https://www.mobile01.com/topicdetail.php?f=454&t=6289787,信義區套房每坪多少才算合理？,2021-01-25 00:18,2,3,5,0.4,0.6
1,https://www.mobile01.com/topicdetail.php?f=454&t=6291010,收到都更條件同意書，請大家幫忙檢視,2021-01-26 13:38,8,8,16,0.5,0.5
2,https://www.mobile01.com/topicdetail.php?f=454&t=6267889,找台北區域的小型廠房,2020-12-24 13:53,2,3,5,0.4,0.6
3,https://www.mobile01.com/topicdetail.php?f=454&t=6291865,台北市額滿國小，考慮卡位急需前輩的建議,2021-01-27 11:07,18,22,40,0.45,0.55
4,https://www.mobile01.com/topicdetail.php?f=454&t=6290501,請問臺北市的房子，靠近什麼公園，最能替房子的價值加分？,2021-01-25 20:01,16,11,27,0.5925925925925926,0.4074074074074074
5,https://www.mobile01.com/topicdetail.php?f=454&t=6244084,萬隆 元利台大公館?,2020-11-24 11:21,6,4,10,0.6,0.4
6,https://www.mobile01.com/topicdetail.php?f=454&t=6191295,[開箱]台北大安現代科技宅- 一起來PARTY吧!,2020-09-16 11:36,101,112,213,0.47417840375586856,0.5258215962441315
7,https://www.mobile01.com/topicdetail.php?f=454&t=6296118,"南港的""達麗101""",2021-02-02 12:57,1,1,2,0.5,0.5
8,https://www.mobile01.com/topicdetail.php?f=454&t=6254983,台北下一個信義計畫區>>>萬華,2020-12-07 23:20,9,16,25,0.36,0.64
9,https://www.mobile01.com/topicdetail.php?f=454&t=6284355,請問有人參觀過新美齊心居嗎？,2021-01-17 06:05,11,5,16,0.6875,0.3125
10,https://www.mobile01.com/topicdetail.php?f=454&t=5909047,圓山X賞、虹X首苑、丰X居-大同區建案心得分享,2019-09-25 13:08,4,7,11,0.36363636363636365,0.6363636363636364
11,https://www.mobile01.com/topicdetail.php?f=454&t=6078998,請益大同區建案虹廷首苑,2020-04-27 13:25,0,6,6,0.0,1.0
12,https://www.mobile01.com/topicdetail.php?f=454&t=6294530,現金買預售屋流程,2021-01-31 00:00,1,2,3,0.3333333333333333,0.6666666666666666
13,https://www.mobile01.com/topicdetail.php?f=454&t=6249008,文山區算台北CP值最高嗎?,2020-11-30 11:15,14,17,31,0.45161290322580644,0.5483870967741935
14,https://www.mobile01.com/topicdetail.php?f=454&t=6194653,木柵遠雄晴川,2020-09-20 22:30,11,14,25,0.44,0.56
15,https://www.mobile01.com/topicdetail.php?f=454&t=6288882,大安區公寓做補習班投資可行性,2021-01-23 02:22,9,19,28,0.32142857142857145,0.6785714285714286
16,https://www.mobile01.com/topicdetail.php?f=454&t=6206610,有沒有人去看過萬隆 ’元利台大公館‘ 這個案阿,2020-10-05 17:25,25,22,47,0.5319148936170213,0.46808510638297873
17,https://www.mobile01.com/topicdetail.php?f=454&t=6294157,請問退租房客損壞門鎖 且不提供退押金帳號該如何處理,2021-01-30 09:59,1,6,7,0.14285714285714285,0.8571428571428571
18,https://www.mobile01.com/topicdetail.php?f=454&t=6221654,有人有推薦的新建案嗎,2020-10-26 17:34,4,7,11,0.36363636363636365,0.6363636363636364
19,https://www.mobile01.com/topicdetail.php?f=454&t=6267325,請問現在房貸利率一般是多少？,2020-12-23 15:34,23,18,41,0.5609756097560976,0.43902439024390244
20,https://www.mobile01.com/topicdetail.php?f=454&t=6244513,玉成公園旁信義一品即將開賣,2020-11-24 19:12,46,42,88,0.5227272727272727,0.4772727272727273
21,https://www.mobile01.com/topicdetail.php?f=454&t=3867488,萬華區~全坤雲峰與全坤威峰~,2014-04-17 21:12,53,81,134,0.39552238805970147,0.6044776119402985
22,https://www.mobile01.com/topicdetail.php?f=454&t=5278333,大同區/大橋頭站民權好合,2017-09-30 15:47,10,10,20,0.5,0.5
23,https://www.mobile01.com/topicdetail.php?f=454&t=6240560,101附近套房還是重劃區三房？,2020-11-19 16:54,4,4,8,0.5,0.5
24,https://www.mobile01.com/topicdetail.php?f=454&t=5180116,南港衝刺建設，低價高CP值大樓分享【《有圖有照》】<持續更新>,2017-06-15 09:18,315,537,852,0.36971830985915494,0.6302816901408451
25,https://www.mobile01.com/topicdetail.php?f=454&t=6289785,［請益］信義區套房,2021-01-25 00:11,2,4,6,0.3333333333333333,0.6666666666666666
26,https://www.mobile01.com/topicdetail.php?f=454&t=1417072,關於內湖五期的房價..想請教大家的意見,2010-02-08 01:22,23,58,81,0.2839506172839506,0.7160493827160493
27,https://www.mobile01.com/topicdetail.php?f=454&t=6290237,買房時都怎麼挑選建商呢？有推薦的嗎？,2021-01-25 16:00,5,1,6,0.8333333333333334,0.16666666666666666
28,https://www.mobile01.com/topicdetail.php?f=454&t=6269625,台北市大同區中古屋求分析,2020-12-26 22:43,4,5,9,0.4444444444444444,0.5555555555555556
29,https://www.mobile01.com/topicdetail.php?f=454&t=6289823,請問大大們覺得~住多遠~還能算是住在台北?,2021-01-25 03:06,20,27,47,0.425531914893617,0.574468085106383
30,https://www.mobile01.com/topicdetail.php?f=454&t=6285159,南萬華周遭環境請益,2021-01-18 14:43,1,6,7,0.14285714285714285,0.8571428571428571
31,https://www.mobile01.com/topicdetail.php?f=454&t=6100187,大安信義區舊公寓值得下手嗎？（非高價地段）,2020-05-24 12:04,20,34,54,0.37037037037037035,0.6296296296296297
32,https://www.mobile01.com/topicdetail.php?f=454&t=6212315,六張犁站的東昀昀,2020-10-13 17:24,4,3,7,0.5714285714285714,0.42857142857142855
33,https://www.mobile01.com/topicdetail.php?f=454&t=6246754,誠心問~大安區舊屋vs信義區新屋,2020-11-27 01:08,18,25,43,0.4186046511627907,0.5813953488372093
34,https://www.mobile01.com/topicdetail.php?f=454&t=6101603,文山區或新店區別墅推薦~~(7/19更新已購屋驗屋，謝謝大家!)(也請推薦設計師),2020-05-26 00:21,25,33,58,0.43103448275862066,0.5689655172413793
35,https://www.mobile01.com/topicdetail.php?f=454&t=6277112,【看屋心得】我看的台北那些房子,2021-01-06 22:47,4,10,14,0.2857142857142857,0.7142857142857143
36,https://www.mobile01.com/topicdetail.php?f=454&t=6265147,大同區 建案德璞永樂,2020-12-21 00:58,2,1,3,0.6666666666666666,0.3333333333333333
37,https://www.mobile01.com/topicdetail.php?f=454&t=6284931,士林區近期內覺得很棒的建案位置,2021-01-18 10:17,5,6,11,0.45454545454545453,0.5454545454545454
38,https://www.mobile01.com/topicdetail.php?f=454&t=6120084,【請益】萬華區１年新房每坪均價50幾萬，算便宜嗎？,2020-06-17 10:20,9,10,19,0.47368421052631576,0.5263157894736842
39,https://www.mobile01.com/topicdetail.php?f=454&t=6254143,青年公園 萬華 昇陽建案,2020-12-06 20:53,9,10,19,0.47368421052631576,0.5263157894736842
40,https://www.mobile01.com/topicdetail.php?f=454&t=6272652,內湖 紐約上城,2020-12-31 00:52,0,1,1,0.0,1.0
41,https://www.mobile01.com/topicdetail.php?f=454&t=6291165,原本應該要繁華的慶城街怎麼被廢棄大樓遮擋風采,2021-01-26 14:38,0,2,2,0.0,1.0
42,https://www.mobile01.com/topicdetail.php?f=454&t=6290619,疫情結束時~房價崩盤日???,2021-01-25 23:57,2,5,7,0.2857142857142857,0.7142857142857143
43,https://www.mobile01.com/topicdetail.php?f=454&t=6276212,驗屋分享文,2021-01-05 19:07,4,2,6,0.6666666666666666,0.3333333333333333
44,https://www.mobile01.com/topicdetail.php?f=454&t=6100783,建案詢問 - 崇偉南京S2,2020-05-25 06:05,21,12,33,0.6363636363636364,0.36363636363636365
45,https://www.mobile01.com/topicdetail.php?f=454&t=6284339,這不是買不買得起的問題~是不甘願~,2021-01-17 03:16,12,24,36,0.3333333333333333,0.6666666666666666
46,https://www.mobile01.com/topicdetail.php?f=454&t=6289630,想問文山區的「金石別莊」,2021-01-24 19:24,1,0,1,1.0,0.0
47,https://www.mobile01.com/topicdetail.php?f=454&t=6284924,湖光 新建案 友座君碧 各位覺得如何？,2021-01-18 10:09,0,5,5,0.0,1.0
48,https://www.mobile01.com/topicdetail.php?f=454&t=6289378,柯P展開「西寧滅鬼」行動,2021-01-24 08:46,2,1,3,0.6666666666666666,0.3333333333333333
49,https://www.mobile01.com/topicdetail.php?f=454&t=6282305,萬華，是宜居的地區嗎？,2021-01-13 19:22,9,10,19,0.47368421052631576,0.5263157894736842
50,https://www.mobile01.com/topicdetail.php?f=454&t=6281196,想找可以信任的房仲,2021-01-12 10:24,4,14,18,0.2222222222222222,0.7777777777777778
51,https://www.mobile01.com/topicdetail.php?f=454&t=6174829,森業永春有人去看了嗎？,2020-08-25 22:14,5,6,11,0.45454545454545453,0.5454545454545454
52,https://www.mobile01.com/topicdetail.php?f=454&t=6288772,有人看得出來 這張照片是哪個建案嗎？,2021-01-22 21:08,0,2,2,0.0,1.0
53,https://www.mobile01.com/topicdetail.php?f=454&t=6288484,求租車位(台北市北投區新北投捷運站附近)平面坡道停車位,2021-01-22 13:59,1,0,1,1.0,0.0
54,https://www.mobile01.com/topicdetail.php?f=454&t=4331311,鄰居裝潢施工時間過長,2015-04-02 11:31,5,6,11,0.45454545454545453,0.5454545454545454
55,https://www.mobile01.com/topicdetail.php?f=454&t=6274937,請問社區大樓的都更，是個別談判還是團體談判呢？,2021-01-04 10:42,5,10,15,0.3333333333333333,0.6666666666666666
56,https://www.mobile01.com/topicdetail.php?f=454&t=6246762,【開箱心得】30多歲靠自己台北市買房裝潢的心路歷程,2020-11-27 01:43,93,65,158,0.5886075949367089,0.41139240506329117
57,https://www.mobile01.com/topicdetail.php?f=454&t=827034,這兩天我一直在想著那個萬華大理街的房子...,2008-11-03 14:35,23,70,93,0.24731182795698925,0.7526881720430108
58,https://www.mobile01.com/topicdetail.php?f=454&t=6198475,榮耀西門看屋心得,2020-09-24 14:23,6,13,19,0.3157894736842105,0.6842105263157895
59,https://www.mobile01.com/topicdetail.php?f=454&t=5699791,想請教大同區《常殷峰澤》,2019-01-26 16:10,9,11,20,0.45,0.55
60,https://www.mobile01.com/topicdetail.php?f=454&t=6283870,江翠北重劃區江南star,2021-01-16 01:41,0,1,1,0.0,1.0
61,https://www.mobile01.com/topicdetail.php?f=454&t=6283381,關於買新成屋條款與驗收問題,2021-01-15 12:17,1,1,2,0.5,0.5
62,https://www.mobile01.com/topicdetail.php?f=454&t=6275316,星雲街上班時間的交通簡直是世界末日！,2021-01-04 16:37,6,5,11,0.5454545454545454,0.45454545454545453
63,https://www.mobile01.com/topicdetail.php?f=454&t=6281386,大同區-甲松富大橋綻,2021-01-12 14:08,2,4,6,0.3333333333333333,0.6666666666666666
64,https://www.mobile01.com/topicdetail.php?f=454&t=2712005,詠大直建案,2012-04-29 13:29,22,47,69,0.3188405797101449,0.6811594202898551
65,https://www.mobile01.com/topicdetail.php?f=454&t=1469321,非民生社區的延壽國宅一坪開價60萬 真是匪夷所思,2010-03-18 10:47,21,33,54,0.3888888888888889,0.6111111111111112
66,https://www.mobile01.com/topicdetail.php?f=454&t=1805376,西門町這間房子有搞頭嘛??,2010-10-12 18:20,13,28,41,0.3170731707317073,0.6829268292682927
67,https://www.mobile01.com/topicdetail.php?f=454&t=6281920,請問南京三民站附近的新案,2021-01-13 10:05,1,0,1,1.0,0.0
68,https://www.mobile01.com/topicdetail.php?f=454&t=3710662,松山線是否有東延南港一帶的可能,2013-12-29 20:31,20,16,36,0.5555555555555556,0.4444444444444444
69,https://www.mobile01.com/topicdetail.php?f=454&t=6227587,信義區新建案,2020-11-03 14:49,9,17,26,0.34615384615384615,0.6538461538461539
70,https://www.mobile01.com/topicdetail.php?f=454&t=6191983,台北市六張犁/麟光 東昀昀 宏築信義等心得分享,2020-09-17 09:36,29,34,63,0.4603174603174603,0.5396825396825397
71,https://www.mobile01.com/topicdetail.php?f=454&t=5645512,都更都要拖很久嗎?,2018-11-27 10:59,14,28,42,0.3333333333333333,0.6666666666666666
